市县名称,city name,car ownership per 100 people(unit/1000people),population（10000people）,per capita GDP(yuan),household price(yuan/㎡),population density(person/k㎡),urbanization(%),Per capita milage of roadway network,Ratio of bus passengers to population(1000 person-times/1000 person),whether downtown of a prefecture-level city(dummy variable),whether municipal?district(dummy variable)
杭州市区,Hangzhou District,28.51087515,857,148784,34647,1033.52629,90,1.15134189,9.378063011,1,0
萧山区,Xiaoshan,34.4667555,150.1,124859,26959,1058.533145,85,1.640906063,2.331778814,0,1
余杭区,Yuhang,24.99675608,160.3,150208,24258,1305.374593,80,1.475982533,1.066749844,0,1
富阳区,Fuyang,21.14056604,74.2,103256,23826,407.4684239,70,2.645552561,3.20754717,0,1
临安区,Linan,24.42866779,59.3,91154,16536,190.1250401,77.4,4.956155143,3.490725126,0,1
建德市,Jiande,19.232287,44.6,82581,15983,192.7398444,60,4.461883408,10.31390135,0,0
桐庐县,Tonglu,21.16875,43.2,91054,13655,236.0655738,56,4.400462963,8.564814815,0,0
淳安县,Chunan,16.59413408,35.8,68407,14077,81.05048676,50,7.715083799,11.22905028,0,0
宁波市区,Ningbo District,36.25005764,433.7,158558,31177,1162.734584,86,1.061793867,5.190223657,1,0
鄞州区,Yinzhou,39.29657228,134.2,135380,32009,1648.648649,82.5,0.75633383,4.903129657,1,0
奉化区,Fenhua,29.34291262,51.5,117419,14796,406.1514196,72,2.636893204,9.825242718,0,1
余姚市,Yuyao,29.68038529,114.2,98800,14738,760.8261159,74,1.741681261,2.154115587,0,0
慈溪市,Cixi,30.22770046,150.9,115379,13304,1108.743571,76.9,1.078197482,3.598409543,0,0
象山县,Xiangshan,27.26427221,52.9,100786,11297,382.7785818,60.3,2.697542533,12.55198488,0,0
宁海县,Ninghai,23.75562044,68.5,88316,15728,371.6766142,55,2.405839416,2.233576642,0,0
温州市区,Wenzhou District,25.33237023,301.11,79549,24885,2260.585586,90.9,0.414134369,7.814419979,1,0
洞头区,Dongtou,18.97294686,10.35,98685,9578,407.480315,53.82,2.115942029,52.17391304,0,1
